Numero Coluna,Token, Tipo
0,global,Parametro funcao
1,factory,Parametro funcao
2,"use strict";,String
3,if,Reservada
4,typeof,Reservada
5,===,Operador
6,"object",String
7,&&,Operador
8,true,Boleano
9,w,Parametro funcao
10,!w.document,Parametro funcao
11,throw,Reservada
12,new,Reservada
13,"jQuery,String
14,with,Reservada
15,return,Reservada
16,else,Reservada
17,!==,Operador
18,"undefined",String
19,this,Reservada
20,window,Parametro funcao
21,noGlobal,Parametro funcao
22,"use strict";,String
23,var,Reservada
24,arr,Variavel
25,getProto,Variavel
26,slice,Variavel
27,flat,Variavel
28,array,Parametro funcao
29,[],Parametro funcao
30,push,Variavel
31,indexOf,Variavel
32,class2type,Variavel
33,toString,Variavel
34,hasOwn,Variavel
35,fnToString,Variavel
36,ObjectFunctionString,Variavel
37,support,Variavel
38,isFunction,Variavel
39,function,Reservada
40,obj,Parametro funcao
41,"function",String
42,"number",String
43,"function";,String
44,isWindow,Variavel
45,null,Literal Nulo
46,document,Variavel
47,preservedScriptAttributes,Variavel
48,code,Parametro funcao
49,node,Parametro funcao
50,doc,Parametro funcao
51,||,Operador
52,val,Parametro funcao
53,"script",String
54,for,Reservada
55,in,Reservada
56,i,Parametro funcao
57,==,Operador
58,"";,String
59,version,Variavel
60,"3.6.0",String
61,selector,Parametro funcao
62,context,Parametro funcao
63,0,Numero
64,num,Parametro funcao
65,<,Operador
66,elems,Parametro funcao
67,ret,Variavel
68,this.constructor(),Parametro funcao
69,callback,Parametro funcao
70,elem,Parametro funcao
71,arguments,Parametro funcao
72,-1,Numero
73,_elem,Parametro funcao
74,1,Numero
75,len,Variavel
76,>=,Operador
77,name,Parametro funcao
78,src,Parametro funcao
79,copy,Parametro funcao
80,copyIsArray,Parametro funcao
81,clone,Parametro funcao
82,"boolean",String
83,target,Parametro funcao
84,"__proto__",String
85,deep,Parametro funcao
86,"jQuery",String
87,/\D/g,Parametro funcao
88,"",String
89,msg,Parametro funcao
90,"[object Object]",String
91,!proto,Parametro funcao
92,proto,Parametro funcao
93,"constructor",String
94,Ctor,Parametro funcao
95,options,Parametro funcao
96,false,Boleano
97,results,Parametro funcao
98,"string",String
99,first,Parametro funcao
100,second,Parametro funcao
101,invert,Parametro funcao
102,arg,Parametro funcao
103,value,Parametro funcao
104,"Boolean,String
105," ",String
106,",String
107,_i,Parametro funcao
108,"[object ",String
109,"]",String
110,length,Variavel
111,"length",String
112,"array",String
113,>,Operador
114,Sizzle,Variavel
115,Expr,Parametro funcao
116,getText,Parametro funcao
117,isXML,Parametro funcao
118,tokenize,Parametro funcao
119,compile,Parametro funcao
120,select,Parametro funcao
121,outermostContext,Parametro funcao
122,sortInput,Parametro funcao
123,hasDuplicate,Parametro funcao
124,setDocument,Parametro funcao
125,docElem,Parametro funcao
126,documentIsHTML,Parametro funcao
127,rbuggyQSA,Parametro funcao
128,rbuggyMatches,Parametro funcao
129,matches,Parametro funcao
130,contains,Parametro funcao
131,"sizzle",String
132,a,Parametro funcao
133,b,Parametro funcao
134,list,Parametro funcao
135,"checked|selected|async|autofocus|autoplay|controls|defer|disabled|hidden|",String
136,"ismap|loop|multiple|open|readonly|required|scoped",String
137,"[\\x20\\t\\r\\n\\f]",String
138,"(?:\\\\[\\da-fA-F]{1  6}",String
139,"?|\\\\[^\\r\\n\\f]|[\\w-]|[^\0-\\x7f])+",String
140,"\\[",String
141,"*(",String
142,")(?:",String
143,"*([*^$|!~]?=)",String
144,"*(?:'((?:\\\\.|[^\\\\'])*)'|\"((?:\\\\.|[^\\\\\"])*)\"|(",String
145,"))|)",String
146,"*\\]",String
147,":(",String
148,")(?:\\((",String
149,"('((?:\\\\.|[^\\\\'])*)'|\"((?:\\\\.|[^\\\\\"])*)\")|",String
150,"((?:\\\\.|[^\\\\()[\\]]|",String
151,")*)|",String
152,".*",String
153,")\\)|)",String
154,"+",String
155,"g",String
156,"^",String
157,"+|((?:^|[^\\\\])(?:\\\\.)*)",String
158,"+$",String
159,"*  ",String
160,"*",String
161,"*([>+~]|",String
162,")",String
163,"|>",String
164,pseudos,Parametro funcao
165,"$",String
166,"ID":,String
167,"^#(",String
168,"CLASS":,String
169,"^\\.(",String
170,"TAG":,String
171,"^(",String
172,"|[*])",String
173,"ATTR":,String
174,"PSEUDO":,String
175,"CHILD":,String
176,"^:(only|first|last|nth|nth-last)-(child|of-type)(?:\\(",String
177,"*(even|odd|(([+-]|)(\\d*)n|)",String
178,"*(?:([+-]|)",String
179,"*(\\d+)|))",String
180,"*\\)|)",String
181,"i",String
182,"bool":,String
183,"^(?:",String
184,")$",String
185,"needsContext":,String
186,"*[>+~]|:(even|odd|eq|gt|lt|nth|first|last)(?:\\(",String
187,"*((?:-\\d)?\\d*)",String
188,"*\\)|)(?=[^-]|$)",String
189,"\\\\[\\da-fA-F]{1  6}",String
190,"?|\\\\([^\\r\\n\\f])",String
191,escape,Parametro funcao
192,nonHex,Parametro funcao
